"protein","entry_name","description","gene_names","family","expression_tissue"
"A1A5B4","ANO9_HUMAN","Anoctamin-9","ANO9 PIG5 TMEM16J TP53I5","TM(Trans)","GAT\Kidney\Lung\Pancreas\Prostate\Skin\Small\Stomach\Urinary"
"A1A5C7","S22AN_HUMAN","Solute carrier family 22 member 23","SLC22A23 C6orf85","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"A1L0T0","HACL2_HUMAN","2-hydroxyacyl-CoA lyase 2","ILVBL AHAS HACL2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A1L157","TSN11_HUMAN","Tetraspanin-11","TSPAN11","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Lung\MAT\Prostate\SCAT\Skin\Small\Stomach\Testis\Thymus\Tongue\Urinary"
"A1L3X0","ELOV7_HUMAN","Very long chain fatty acid elongase 7","ELOVL7","TM","Adrenal\Brain\Eye\Kidney\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"A2A2Y4","FRMD3_HUMAN","FERM domain-containing protein 3","FRMD3 EPB41L4O","TM","Brain\Eye\Spleen"
"A2RU14","TM218_HUMAN","Transmembrane protein 218","TMEM218","TM","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Testis\Thymus"
"A2RU67","F234B_HUMAN","Protein FAM234B","FAM234B KIAA1467","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A2VDJ0","T131L_HUMAN","Transmembrane protein 131-like","TMEM131L KIAA0922","TM","Adrenal\BAT\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus"
"A5D6W6","FITM1_HUMAN","Fat storage-inducing transmembrane protein 1","FITM1 FIT1","TM","Adrenal\BAT\Eye\Heart\Kidney\Liver\Lung\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A5PLL7","PEDS1_HUMAN","Plasmanylethanolamine desaturase 1","PEDS1 KUA PEDS TMEM189","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A6BM72","MEG11_HUMAN","Multiple epidermal growth factor-like domains protein 11","MEGF11 KIAA1781 UNQ1949/PRO4432","TM","Brain\Eye\SCAT\Spleen"
"A6NC51","T150B_HUMAN","Modulator of macroautophagy TMEM150B","TMEM150B TMEM224","TM","Small\Spleen\Stomach\Thymus"
"A6NDD5","SYN1L_HUMAN","Synapse differentiation-inducing gene protein 1-like","SYNDIG1L TMEM90A","TM","Brain\Eye\Testis"
"A6NDP7","MADL2_HUMAN","Myeloid-associated differentiation marker-like protein 2","MYADML2","TM","BAT\Brain\Eye\Heart\Lung\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Tongue"
"A6NFA1","TIKI2_HUMAN","Metalloprotease TIKI2","TRABD2B HKAT TIKI2","TM","GAT\Heart\Kidney\Lung\SCAT"
"A6NFX1","MFS2B_HUMAN","Sphingosine-1-phosphate transporter MFSD2B","MFSD2B","TM(Trans)","Lung\Skin\Spleen"
"A6NFY4","NEMP2_HUMAN","Nuclear envelope integral membrane protein 2","NEMP2 TMEM194B","TM","Lung\MAT\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"A6NGB7","TM221_HUMAN","Transmembrane protein 221","TMEM221","TM","Adrenal\GAT\Kidney\Lung\Pancreas\Prostate\Spleen\Testis\Thymus\Urinary"
"A6NGC4","TLCD2_HUMAN","TLC domain-containing protein 2","TLCD2","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus"
"A6NKB5","PCX2_HUMAN","Pecanex-like protein 2","PCNX2 KIAA0435 PCNXL2","TM","Adrenal\Brain\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus"
"A6NL88","SHSA7_HUMAN","Protein shisa-7 receptor auxiliary subunit Shisa7","SHISA7","TM","BAT\Brain\Eye"
"A6NLU5","VTM2B_HUMAN","V-set and transmembrane domain-containing protein 2B","VSTM2B","TM","Brain\Eye\Stomach"
"A6QL63","ABTB3_HUMAN","Ankyrin repeat- and BTB/POZ domain-containing protein 3","ABTB3 BTBD11","TM","Adrenal\Brain\Eye\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A7MBM2","DISP2_HUMAN","Protein dispatched homolog 2","DISP2 C15orf36 DISPB KIAA1742 LINC00594","TM","Adrenal\Brain\Eye\GAT\Liver\Prostate\Skin\Small\Stomach"
"A8MTT3","CEBOS_HUMAN","Protein CEBPZOS","CEBPZOS CEBPZ-AS1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A8MVS5","HIDE1_HUMAN","Protein HIDE1","HIDE1 C19orf38","TM","Adrenal\BAT\GAT\Heart\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Urinary"
"A8MVW0","F1712_HUMAN","Protein FAM171A2","FAM171A2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A8MVW5","HECA2_HUMAN","HEPACAM family member 2","HEPACAM2 MIKI UNQ305/PRO346","TM","MAT\Small\Spleen\Thymus"
"A8MWY0","ELAP2_HUMAN","Endosome/lysosome-associated apoptosis and autophagy regulator family member 2","ELAPOR2 EIG121L KIAA1324L","TM","Adrenal\Brain\Eye\Liver\Lung\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"A8MXK1","VSTM5_HUMAN","V-set and transmembrane domain-containing protein 5","VSTM5 C11orf90","TM","Kidney\Prostate\Small\Stomach\Testis\Urinary"
"B2RTY4","MYO9A_HUMAN","Unconventional myosin-IXa","MYO9A MYR7","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Urinary"
"B2RUZ4","SMIM1_HUMAN","Small integral membrane protein 1","SMIM1","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"B2RXF0","T229A_HUMAN","Transmembrane protein 229A","TMEM229A","TM","Brain\Eye\Kidney\Pancreas\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"B3SHH9","TM114_HUMAN","Transmembrane protein 114","TMEM114","TM","BAT\GAT\Heart\Lung\Muscle\Skin\Spleen\Testis"
"B9EJG8","T150C_HUMAN","Transmembrane protein 150C","TMEM150C TTN3","TM","Brain\Eye\GAT\Lung\MAT\Prostate\Skin\Testis\Thymus\Tongue\Urinary"
"C9JH25","PRRT4_HUMAN","Proline-rich transmembrane protein 4","PRRT4","TM","Adrenal\Brain\Eye\GAT\Lung\MAT\SCAT\Skin\Spleen\Testis\Tongue\Urinary"
"C9JI98","TM238_HUMAN","Transmembrane protein 238","TMEM238","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"C9JQI7","TM232_HUMAN","Transmembrane protein 232","TMEM232","TM","Adrenal\Stomach\Testis"
"F2Z333","FND10_HUMAN","Fibronectin type III domain-containing protein 10","FNDC10 C1orf233","TM","Adrenal\Brain\Eye\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O00144","FZD9_HUMAN","Frizzled-9","FZD9 FZD3","TM(GPCR)","Brain\Skin\Small\Testis"
"O00168","PLM_HUMAN","Phospholemman","FXYD1 PLM","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00180","KCNK1_HUMAN","Potassium channel subfamily K member 1","KCNK1 HOHO1 KCNO1 TWIK1","TM(IC)","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O00206","TLR4_HUMAN","Toll-like receptor 4","TLR4","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00222","GRM8_HUMAN","Metabotropic glutamate receptor 8","GRM8 GPRC1H MGLUR8","TM(GPCR)","Adrenal\Brain\Eye\Kidney\Liver\Prostate\SCAT\Skin\Small\Testis\Thymus\Urinary"
"O00237","RN103_HUMAN","E3 ubiquitin-protein ligase RNF103","RNF103 ZFP103","TM","Adrenal\Liver\Lung\Prostate\Thymus"
"O00238","BMR1B_HUMAN","Bone morphogenetic protein receptor type-1B","BMPR1B","TM","Brain\Eye\GAT\Lung\MAT\Pancreas\Prostate\Stomach\Urinary"
"O00254","PAR3_HUMAN","Proteinase-activated receptor 3","F2RL2 PAR3","TM(GPCR)","Adrenal\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"O00258","GET1_HUMAN","Guided entry of tail-anchored proteins factor 1","GET1 CHD5 WRB","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00264","PGRC1_HUMAN","Membrane-associated progesterone receptor component 1","PGRMC1 HPR6.6 PGRMC","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00299","CLIC1_HUMAN","Chloride intracellular channel protein 1","CLIC1 G6 NCC27","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00322","UPK1A_HUMAN","Uroplakin-1a","UPK1A TSPAN21","TM","Adrenal\Eye\GAT\Kidney\Liver\Lung\MAT\Prostate\Thymus\Urinary"
"O00391","QSOX1_HUMAN","Sulfhydryl oxidase 1","QSOX1 QSCN6 UNQ2520/PRO6013","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00398","P2Y10_HUMAN","Putative P2Y purinoceptor 10","P2RY10","TM(GPCR)","Adrenal\Lung\MAT\SCAT\Skin\Small\Spleen\Thymus"
"O00400","ACATN_HUMAN","Acetyl-coenzyme A transporter 1","SLC33A1 ACATN AT1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00445","SYT5_HUMAN","Synaptotagmin-5","SYT5","TM","Adrenal\BAT\Brain\Eye\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Testis\Urinary"
"O00461","GOLI4_HUMAN","Golgi integral membrane protein 4","GOLIM4 GIMPC GOLPH4 GPP130","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00468","AGRIN_HUMAN","Agrin","AGRN AGRIN","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O00483","NDUA4_HUMAN","Cytochrome c oxidase subunit NDUFA4","NDUFA4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00501","CLD5_HUMAN","Claudin-5","CLDN5 AWAL TMVCF","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00519","FAAH1_HUMAN","Fatty-acid amide hydrolase 1","FAAH FAAH1","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O00533","NCHL1_HUMAN","Neural cell adhesion molecule L1-like protein","CHL1 CALL","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O00548","DLL1_HUMAN","Delta-like protein 1","DLL1 UNQ146/PRO172","TM","Lung\Small\Spleen\Thymus"
"O00555","CAC1A_HUMAN","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","CACNA1A CACH4 CACN3 CACNL1A4","TM(IC)","Brain\Eye\SCAT"
"O00559","RCAS1_HUMAN","Receptor-binding cancer antigen expressed on SiSo cells","EBAG9 RCAS1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O00574","CXCR6_HUMAN","C-X-C chemokine receptor type 6","CXCR6 BONZO STRL33 TYMSTR","TM(GPCR)","MAT\SCAT\Spleen"
"O00587","MFNG_HUMAN","Beta-1,3-N-acetylglucosaminyltransferase manic fringe","MFNG","TM","Adrenal\GAT\Kidney\MAT\SCAT\Spleen"
"O00590","ACKR2_HUMAN","Atypical chemokine receptor 2","ACKR2 CCBP2 CCR10 CMKBR9 D6","TM(GPCR)","GAT\Lung\MAT\SCAT\Skin\Spleen"
"O00623","PEX12_HUMAN","Peroxisome assembly protein 12","PEX12 PAF3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14494","PLPP1_HUMAN","Phospholipid phosphatase 1","PLPP1 LPP1 PPAP2A","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14495","PLPP3_HUMAN","Phospholipid phosphatase 3","PLPP3 LPP3 PPAP2B","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14521","DHSD_HUMAN","Succinate dehydrogenase cytochrome b small subunit, mitochondrial","SDHD SDH4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14522","PTPRT_HUMAN","Receptor-type tyrosine-protein phosphatase T","PTPRT KIAA0283","TM","Brain\Eye\Small\Spleen"
"O14523","C2C2L_HUMAN","Phospholipid transfer protein C2CD2L","C2CD2L KIAA0285 TMEM24 DLNB23","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14524","NEMP1_HUMAN","Nuclear envelope integral membrane protein 1","NEMP1 KIAA0286 TMEM194 TMEM194A","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14525","ASTN1_HUMAN","Astrotactin-1","ASTN1 ASTN KIAA0289","TM","Adrenal\Brain\Eye\MAT\Skin\Spleen\Stomach"
"O14569","C56D2_HUMAN","Transmembrane reductase CYB561D2","CYB561D2 101F6 LUCA12.2","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14626","GP171_HUMAN","G-protein coupled receptor 171","GPR171 H963","TM(GPCR)","Lung\MAT\SCAT\Skin\Small\Spleen\Thymus"
"O14638","ENPP3_HUMAN","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3","ENPP3 PDNP3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14649","KCNK3_HUMAN","Potassium channel subfamily K member 3 channel 1 channel KT3.1","KCNK3 TASK TASK1","TM(IC)","Adrenal\BAT\Brain\Eye\Heart\Lung\Prostate\SCAT\Thymus\Urinary"
"O14653","GOSR2_HUMAN","Golgi SNAP receptor complex member 2","GOSR2 GS27","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14662","STX16_HUMAN","Syntaxin-16","STX16","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14672","ADA10_HUMAN","Disintegrin and metalloproteinase domain-containing protein 10","ADAM10 KUZ MADM","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14678","ABCD4_HUMAN","Lysosomal cobalamin transporter ABCD4","ABCD4 PXMP1L","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14681","EI24_HUMAN","Etoposide-induced protein 2.4 homolog","EI24 PIG8","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14683","P5I11_HUMAN","Tumor protein p53-inducible protein 11","TP53I11 PIG11","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14684","PTGES_HUMAN","Prostaglandin E synthase","PTGES MGST1L1 MPGES1 PGES PIG12","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14735","CDIPT_HUMAN","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","CDIPT PIS PIS1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14764","GBRD_HUMAN","Gamma-aminobutyric acid receptor subunit delta receptor subunit delta","GABRD","TM(IC)","Brain\Eye\Kidney"
"O14786","NRP1_HUMAN","Neuropilin-1","NRP1 NRP VEGF165R","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14788","TNF11_HUMAN","Tumor necrosis factor ligand superfamily member 11","TNFSF11 OPGL RANKL TRANCE","TM","MAT\SCAT\Spleen\Thymus"
"O14817","TSN4_HUMAN","Tetraspanin-4","TSPAN4 NAG2 TM4SF7","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14828","SCAM3_HUMAN","Secretory carrier-associated membrane protein 3","SCAMP3 C1orf3 PROPIN1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14863","ZNT4_HUMAN","Probable proton-coupled zinc antiporter SLC30A4","SLC30A4 ZNT4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O14880","MGST3_HUMAN","Glutathione S-transferase 3, mitochondrial","MGST3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14949","QCR8_HUMAN","Cytochrome b-c1 complex subunit 8","UQCRQ","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14957","QCR10_HUMAN","Cytochrome b-c1 complex subunit 10","UQCR11 UQCR","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14967","CLGN_HUMAN","Calmegin","CLGN","TM","Adrenal\Brain\Eye\GAT\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue"
"O14975","S27A2_HUMAN","Long-chain fatty acid transport protein 2","SLC27A2 ACSVL1 FACVL1 FATP2 VLACS","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O14983","AT2A1_HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 1-ATPase 1 ATPase","ATP2A1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15031","PLXB2_HUMAN","Plexin-B2","PLXNB2 KIAA0315","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15079","SNPH_HUMAN","Syntaphilin","SNPH KIAA0374","TM","Brain\Eye\Prostate"
"O15118","NPC1_HUMAN","NPC intracellular cholesterol transporter 1","NPC1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15120","PLCB_HUMAN","1-acyl-sn-glycerol-3-phosphate acyltransferase beta","AGPAT2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15126","SCAM1_HUMAN","Secretory carrier-associated membrane protein 1","SCAMP1 SCAMP","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
